,,,,,,,,
,,,,,,Nominal,NEER,REER 
,,  Bureau Weighted Average,,Bureau,Official,Effective,INDEX,INDEX
,Year/Month, Buying Rate, Selling Rate,Mid Rate,Mid Rate,Exchange Rate,2010 = 100*,2010 = 100*
,,,,,,,,
,,,,,,,,
,Oct-88,…,…,…,150.00,18.5,11.6,…
,Nov-88,…,…,…,150.00,18.9,11.8,…
,Dec-88,…,…,…,165.00,20.6,12.9,…
,Jan-89,…,…,…,165.00,20.3,12.7,…
,Feb-89,…,…,…,165.00,20.1,12.6,…
,Mar-89,…,…,…,200.00,23.0,14.4,…
,Apr-89,…,…,…,200.00,23.9,14.9,…
,May-89,…,…,…,200.00,23.0,14.4,…
,Jun-89,…,…,…,200.00,22.4,14.0,…
,Jul-89,…,…,…,200.00,22.9,14.4,…
,Aug-89,…,…,…,200.00,22.7,14.2,…
,Sep-89,…,…,…,200.00,22.3,14.0,28.2
,Oct-89,…,…,…,340.00,27.2,17.0,33.1
,Nov-89,…,…,…,340.00,39.3,24.6,46.4
,Dec-89,…,…,…,370.00,42.8,26.8,49.6
,Jan-90,…,…,…,375.00,43.8,27.4,46.9
,Feb-90,…,…,…,379.00,44.5,27.8,47.9
,Mar-90,…,…,…,379.00,43.4,27.2,47.3
,Apr-90,…,…,…,379.00,43.2,27.0,47.5
,May-90,…,…,…,384.00,44.2,27.6,49.6
,Jun-90,…,…,…,440.00,44.4,27.8,50.8
,Jul-90,622.46,652.31,637.39,440.00,51.4,32.2,59.0
,Aug-90,682.05,712.33,697.19,450.00,52.6,32.9,58.8
,Sep-90,710.45,751.28,730.87,480.00,55.4,34.7,60.2
,Oct-90,705.20,745.34,725.27,480.00,58.2,36.5,60.7
,Nov-90,737.00,764.00,750.50,510.00,62.2,38.9,64.5
,Dec-90,749.00,788.00,768.50,540.00,63.9,40.0,66.5
,Jan-91,760.41,796.00,778.21,570.00,68.4,42.0,66.4
,Feb-91,769.73,804.32,787.03,600.00,71.4,43.8,69.0
,Mar-91,800.32,828.91,814.62,620.00,70.8,43.5,67.3
,Apr-91,825.13,869.31,847.22,640.00,71.5,44.0,66.1
,May-91,866.11,910.50,888.31,670.00,73.9,45.4,68.8
,Jun-91,914.71,963.28,939.00,700.00,74.4,45.7,69.2
,Jul-91,939.63,975.00,957.32,800.00,77.6,47.7,72.1
,Aug-91,961.06,985.34,973.20,800.00,85.5,52.5,77.9
,Sep-91,968.47,992.69,980.58,850.00,91.6,56.3,82.9
,Oct-91,984.25,"1,017.90","1,001.08",915.00,93.0,57.2,82.7
,Nov-91,"1,044.01","1,095.53","1,069.77",915.00,101.1,62.1,86.9
,Dec-91,"1,156.25","1,212.06","1,184.16",915.00,102.5,63.0,85.1
,Jan-92,"1,211.76","1,268.69","1,240.23",970.00,108.1,66.4,84.7
,Feb-92,"1,231.44","1,288.71","1,260.08",985.48,108.2,66.5,80.8
,Mar-92,"1,224.89","1,274.70","1,249.80","1,160.08",111.2,68.3,77.6
,Apr-92,"1,175.20","1,240.41","1,207.81","1,158.91",124.4,76.4,78.9
,May-92,"1,190.13","1,242.22","1,216.18","1,164.94",125.8,77.3,76.8
,Jun-92,"1,202.18","1,247.19","1,224.69","1,166.06",127.3,78.2,78.5
,Jul-92,"1,226.20","1,270.50","1,248.35","1,177.86",130.8,80.4,78.9
,Aug-92,"1,235.99","1,276.18","1,256.09","1,185.29",132.0,81.1,80.6
,Sep-92,"1,212.05","1,254.08","1,233.07","1,185.15",130.8,80.3,80.3
,Oct-92,"1,205.54","1,238.87","1,222.21","1,181.07",127.0,78.0,76.6
,Nov-92,"1,228.82","1,253.69","1,241.26","1,196.34",123.8,76.1,75.4
,Dec-92,"1,233.24","1,263.75","1,248.50","1,213.93",125.2,76.9,77.7
,Jan-93,"1,215.60","1,253.83","1,234.72","1,217.12",123.9,76.1,78.5
,Feb-93,"1,221.05","1,255.19","1,238.12","1,217.09",122.5,75.2,80.6
,Mar-93,"1,240.49","1,262.14","1,251.32","1,217.52",116.7,71.7,79.6
,Apr-93,"1,243.38","1,266.44","1,254.91","1,218.09",114.0,70.0,78.3
,May-93,"1,228.69","1,261.81","1,245.25","1,213.27",109.2,67.1,75.2
